parent_name,region,name,color,sequence
"","","BLUES","#297DE4",12
"BLUES","BLUES","Acoustic Blues","",0
"BLUES","BLUES","Blues","",0
"BLUES","BLUES","Chicago Blues","",0
"BLUES","BLUES","Contemporary Blues","",0
"BLUES","BLUES","Delta Blues","",0
"BLUES","BLUES","Electric Blues Guitar","",0
"BLUES","BLUES","Harmonica Blues","",0
"BLUES","BLUES","Jump Blues","",0
"BLUES","BLUES","Modern Blues","",0
"BLUES","BLUES","Piano","",0
"BLUES","BLUES","Slide Guitar","",0
"BLUES","BLUES","Traditional Blues","",0
"BLUES","BLUES","Cajun","",0
"","","CLASSICAL","#F43374",1
"CLASSICAL","CLASSICAL","Avant-Garde","",0
"CLASSICAL","CLASSICAL","Ballets & Dances","",0
"CLASSICAL","CLASSICAL","Baroque","",0
"CLASSICAL","CLASSICAL","Chant","",0
"CLASSICAL","CLASSICAL","Choral","",0
"CLASSICAL","CLASSICAL","Classical","",0
"CLASSICAL","CLASSICAL","Classical Crossover","",0
"CLASSICAL","CLASSICAL","Contemporary Classical","",0
"CLASSICAL","CLASSICAL","Expressionist","",0
"CLASSICAL","CLASSICAL","Impressionist","",0
"CLASSICAL","CLASSICAL","Medieval","",0
"CLASSICAL","CLASSICAL","Minimal Classical","",0
"CLASSICAL","CLASSICAL","Modern Classical","",0
"CLASSICAL","CLASSICAL","Opera & Vocal","",0
"CLASSICAL","CLASSICAL","Orchestral","",0
"CLASSICAL","CLASSICAL","Renaissance","",0
"CLASSICAL","CLASSICAL","Romantic","",0
"","","COUNTRY","#E12D84",2
"COUNTRY","COUNTRY","Alternative Country","",0
"COUNTRY","COUNTRY","Americana","",0
"COUNTRY","COUNTRY","Bluegrass","",0
"COUNTRY","COUNTRY","Classic Country","",0
"COUNTRY","COUNTRY","Contemporary Bluegrass","",0
"COUNTRY","COUNTRY","Contemporary Country","",0
"COUNTRY","COUNTRY","Country","",0
"COUNTRY","COUNTRY","Country Dance Music","",0
"COUNTRY","COUNTRY","Country Gospel","",0
"COUNTRY","COUNTRY","Honky Tonk","",0
"COUNTRY","COUNTRY","Outlaw Country","",0
"COUNTRY","COUNTRY","Pop Country","",0
"COUNTRY","COUNTRY","Urband Cowboy","",0
"","","DRUM & BASS","#CE2894",3
"DRUM & BASS","DRUM & BASS","Breakcore","",0
"DRUM & BASS","DRUM & BASS","Darkcore","",0
"DRUM & BASS","DRUM & BASS","Deep","",0
"DRUM & BASS","DRUM & BASS","Drill'n'Bass","",0
"DRUM & BASS","DRUM & BASS","Drum & Bass","",0
"DRUM & BASS","DRUM & BASS","Drumstep","",0
"DRUM & BASS","DRUM & BASS","Halftime","",0
"DRUM & BASS","DRUM & BASS","Intelligent","",0
"DRUM & BASS","DRUM & BASS","Jump Up","",0
"DRUM & BASS","DRUM & BASS","Liquid","",0
"DRUM & BASS","DRUM & BASS","Nuerofunk","",0
"DRUM & BASS","DRUM & BASS","Ragga Jungle","",0
"DRUM & BASS","DRUM & BASS","Sambass","",0
"DRUM & BASS","DRUM & BASS","Techstep","",0
"","","ELECTRONIC","#B823A4",4
"ELECTRONIC","ELECTRONIC","2-step / Garage","",0
"ELECTRONIC","ELECTRONIC","8-bit","",0
"ELECTRONIC","ELECTRONIC","Acid Jazz","",0
"ELECTRONIC","ELECTRONIC","Ambient","",0
"ELECTRONIC","ELECTRONIC","B-More","",0
"ELECTRONIC","ELECTRONIC","Bass Music","",0
"ELECTRONIC","ELECTRONIC","Beats","",0
"ELECTRONIC","ELECTRONIC","Big Beat","",0
"ELECTRONIC","ELECTRONIC","Booty Bass","",0
"ELECTRONIC","ELECTRONIC","Broken beat","",0
"ELECTRONIC","ELECTRONIC","Chill Trap / Future Bass","",0
"ELECTRONIC","ELECTRONIC","Chillstep","",0
"ELECTRONIC","ELECTRONIC","Chillwave","",0
"ELECTRONIC","ELECTRONIC","Chiptune","",0
"ELECTRONIC","ELECTRONIC","Club","",0
"ELECTRONIC","ELECTRONIC","Complextro","",0
"ELECTRONIC","ELECTRONIC","Disco","",0
"ELECTRONIC","ELECTRONIC","Downtempo","",0
"ELECTRONIC","ELECTRONIC","Dubstep","",0
"ELECTRONIC","ELECTRONIC","EDM","",0
"ELECTRONIC","ELECTRONIC","Electro Swing","",0
"ELECTRONIC","ELECTRONIC","Electro","",0
"ELECTRONIC","ELECTRONIC","Electro Pop","",0
"ELECTRONIC","ELECTRONIC","Electronic","",0
"ELECTRONIC","ELECTRONIC","Footwork","",0
"ELECTRONIC","ELECTRONIC","Freestyle","",0
"ELECTRONIC","ELECTRONIC","Ghettotech","",0
"ELECTRONIC","ELECTRONIC","Glitch Hop","",0
"ELECTRONIC","ELECTRONIC","Gqom","",0
"ELECTRONIC","ELECTRONIC","Grime","",0
"ELECTRONIC","ELECTRONIC","Hardstyle","",0
"ELECTRONIC","ELECTRONIC","Hi-NRG","",0
"ELECTRONIC","ELECTRONIC","IDM / Experimental","",0
"ELECTRONIC","ELECTRONIC","Indie Dance","",0
"ELECTRONIC","ELECTRONIC","Industrial","",0
"ELECTRONIC","ELECTRONIC","Italo Disco","",0
"ELECTRONIC","ELECTRONIC","Jersey Club","",0
"ELECTRONIC","ELECTRONIC","Miami Bass","",0
"ELECTRONIC","ELECTRONIC","MIDI Music","",0
"ELECTRONIC","ELECTRONIC","Moombahton","",0
"ELECTRONIC","ELECTRONIC","New Age","",0
"ELECTRONIC","ELECTRONIC","Nu Skool Breaks","",0
"ELECTRONIC","ELECTRONIC","Psy-Trance","",0
"ELECTRONIC","ELECTRONIC","Rave","",0
"ELECTRONIC","ELECTRONIC","Speedcore","",0
"ELECTRONIC","ELECTRONIC","Trance","",0
"ELECTRONIC","ELECTRONIC","Trap","",0
"ELECTRONIC","ELECTRONIC","Trip-Hop","",0
"ELECTRONIC","ELECTRONIC","UK Funky","",0
"ELECTRONIC","ELECTRONIC","Witch House","",0
"ELECTRONIC","ELECTRONIC","Vaporwave","",0
"","","EXPERIMENTAL","#9F21B4",5
"EXPERIMENTAL","EXPERIMENTAL","ASMR","",0
"EXPERIMENTAL","EXPERIMENTAL","Ambient","",0
"EXPERIMENTAL","EXPERIMENTAL","Avant-garde","",0
"EXPERIMENTAL","EXPERIMENTAL","Drone","",0
"EXPERIMENTAL","EXPERIMENTAL","Environmental","",0
"EXPERIMENTAL","EXPERIMENTAL","Healing","",0
